Opening Id;Type;Peculiar Type;House Id;Bigger Area Room;Passing Standing Bigger Room;Bigger Area Room Type;Bigger Area Room m2;Smaller Area Room;Passing Standing Smaller Room;Smaller Area Room Type;Smaller Area Room m2;Width (cm);Height (cm);Length (cm);Level of Preservation;Id Threshold Sill;Id Lintel;Floor;Distance from Ground (cm);Frame Trace;Lintel Type;House Id:1;House Type;Date;Period;Town;Data Method;Total Square Meter (m2);Id Lintel:1;Lintel Length (cm);Lintel Width (cm);Lintel Thickness (cm);Lintel Material;Lintel Doorstop Width (cm);Lintel Tenon Hole Number;Lintel Hinge Hole Number;Lintel Bolt Hole Number;Id Threshold Sill:1;Threshold Sill Length (cm);Threshold Sill Width (cm);Threshold Sill Thickness (cm);Threshold Sill Material;Threshold Sill Type;Threshold Sill Doorstop Width (cm);Threshold Sill Tenon Hole Number;Threshold Sill Hinge Hole Number;Threshold Sill Bolt Hole Number;Threshold Sill Shutter Erosion;Threshold Sill Folding Door Channel;Outside_Inside
12;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;204;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
13;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;202;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
14;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;208;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
15;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
16;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
17;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
18;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
19;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
20;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
21;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
22;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
23;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
24;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
25;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
26;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
27;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
28;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
29;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
30;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
31;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
32;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
33;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
34;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
35;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
36;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
37;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
38;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
39;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
40;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
41;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
42;WINDOW;WOLF MOUTH WINDOW;DOMUS DEL CRIPTOPORTICO;GARDEN;STANDING;OPEN SPACES;;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;44;74;40;4;;;UG;216;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
43;WINDOW;NO;DOMUS DEL CRIPTOPORTICO;UNKNOWN;STANDING;UNKNOWN;;STORAGE CLOSET;STANDING;SERVICE ROOM;1252;60;66;;4;;;UG;180;NO;E;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;;;;;;;;;;;;;INSIDE
44;DOORWAY;NO;DOMUS DEL CRIPTOPORTICO;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;CORRIDOR;PASSING;PUBLIC ROOM;;130;209;44;4;T0044;L0044;UG;;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;L0044;130;445;;OTHER STONE;;;;;T0044;445;130;16;OTHER STONE;D;16;0;0;0;NO;NO;INSIDE
45;DOORWAY;NO;DOMUS DEL CRIPTOPORTICO;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;STORAGE CLOSET;STANDING;SERVICE ROOM;1252;134;170;40;4;T0045;L0045;UG;;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;L0045;124;58;30;LIMESTONE;18;2;1;0;T0045;58;124;30;LIMESTONE;D;18;2;1;1;NO;NO;INSIDE
46;DOORWAY;NO;DOMUS DEL CRIPTOPORTICO;CRYPTOPORTICUS;PASSING;PUBLIC ROOM;545;STORAGE CLOSET;STANDING;SERVICE ROOM;1416;134;172;47;4;T0046;;UG;;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;T0046;47;133;;OTHER STONE;C;0;0;0;0;NO;NO;INSIDE
47;DOORWAY;NO;DOMUS DEL CRIPTOPORTICO;STORAGE CLOSET;STANDING;SERVICE ROOM;1416;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;882;119;;35;4;T0047;;UG;;NO;A;DOMUS DEL CRIPTOPORTICO;DOMUS;I AD;EARLY EMPIRE;VICENZA;SURVEY;;;;;;;;;;;T0047;35;119;;OTHER STONE;C;0;0;0;0;NO;NO;INSIDE
49;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;814;CUBICULUM;STANDING;PRIVATE ROOM;41;114;;27;2;T0049;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0049;97;27;20;LIMESTONE;D;85;0;2;1;NO;NO;INSIDE
50;WINDOW;NO;DOMUS DELLE FONTANE 1;COURT;STANDING;OPEN SPACES;5987;CUBICULUM;STANDING;PRIVATE ROOM;814;119;;59;1;;;G;100;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;;;;;;;;;;;;;INSIDE
51;DOORWAY;NO;DOMUS DELLE FONTANE 1;COURT;STANDING;OPEN SPACES;5987;CORRIDOR;PASSING;PUBLIC ROOM;41;141;;45;2;T0051;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0051;55;136;;MARBLE;D;125;0;2;1;NO;NO;INSIDE
52;DOORWAY;NO;DOMUS DELLE FONTANE 1;COURT;STANDING;OPEN SPACES;5987;CORRIDOR;PASSING;PUBLIC ROOM;1702;131;;54;2;T0052;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0052;315;131;;MARBLE;C;0;0;0;0;NO;NO;INSIDE
53;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;1705;CORRIDOR;PASSING;PUBLIC ROOM;571;126;;39;1;;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;;;;;;;;;;;;;INSIDE
54;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;463;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;102;117;;32;3;T0054;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0054;405;117;;MARBLE;D;85;0;2;1;NO;NO;INSIDE
55;DOORWAY;NO;DOMUS DELLE FONTANE 1;CUBICULUM;STANDING;PRIVATE ROOM;888;ANTICHAMBER;STANDING;PUBLIC ROOM;725;97;;30;3;T0055;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0055;30;97;;MARBLE;E;7;0;4;0;YES;NO;INSIDE
56;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;1702;ANTICHAMBER;STANDING;PUBLIC ROOM;292;128;;40;3;T0056;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0056;465;128;;MARBLE;E;8;0;1;0;NO;NO;INSIDE
57;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;1702;CUBICULUM;STANDING;PRIVATE ROOM;1604;204;;32;3;T0057;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0057;47;198;;OTHER STONE;D;25;0;0;2;NO;NO;INSIDE
58;DOORWAY;NO;DOMUS DELLE FONTANE 1;CUBICULUM;STANDING;PRIVATE ROOM;1604;CORRIDOR;PASSING;PUBLIC ROOM;41;135;;38;3;T0058;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0058;50;135;20;OTHER STONE;D;;0;2;1;NO;NO;INSIDE
59;DOORWAY;NO;DOMUS DELLE FONTANE 1;TRICLINIUM;STANDING;PUBLIC ROOM;3516;CUBICULUM;STANDING;PRIVATE ROOM;13;91;;27;2;T0059;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0059;27;94;;OTHER STONE;C;0;0;0;4;NO;NO;INSIDE
60;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;2838;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;149;159;;36;2;T0060;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0060;48;161;;OTHER STONE;D;9;0;2;1;NO;NO;INSIDE
61;DOORWAY;NO;DOMUS DELLE FONTANE 2;CORRIDOR;PASSING;PUBLIC ROOM;2838;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;276;119;;36;2;T0061;;G;;NO;n.a.;DOMUS DELLE FONTANE 2;DOMUS;III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;541;;;;;;;;;;T0061;53;154;;OTHER STONE;D;17;0;2;2;YES;NO;INSIDE
62;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;3027;CORRIDOR;PASSING;PUBLIC ROOM;2838;110;;40;2;T0063;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0063;48;110;;OTHER STONE;D;10;0;1;0;NO;NO;INSIDE
63;DOORWAY;NO;DOMUS DELLE FONTANE 1;COURT;STANDING;OPEN SPACES;5987;RECEPTION ROOM;STANDING;PUBLIC ROOM;4214;84;;39;3;T0062;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0062;47;115;;OTHER STONE;A;145;0;2;0;NO;NO;INSIDE
64;DOORWAY;NO;DOMUS DELLE FONTANE 1;CORRIDOR;PASSING;PUBLIC ROOM;3027;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;534;188;;45;2;T0064;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0064;67;1865;;OTHER STONE;E;16;0;1;2;NO;YES;INSIDE
65;DOORWAY;NO;DOMUS DELLE FONTANE 1;CUBICULUM;STANDING;PRIVATE ROOM;125;CORRIDOR;PASSING;PUBLIC ROOM;506;148;;53;2;T0065;;G;;NO;n.a.;DOMUS DELLE FONTANE 1;DOMUS;I BC-III AD;MIDDLE EMPIRE;BRESCIA;SURVEY;595;;;;;;;;;;T0065;66;1845;;OTHER STONE;A;14;0;1;0;NO;NO;INSIDE
