"ThresholdSillHingeHoleId","IdThresholdSill","ThresholdSillHingeHoleDepth","ThresholdSillHingeHoleShape","ThresholdSillHingeHoleRadius","ThresholdSillHingeHoleWidth","ThresholdSillHingeHoleLength","ThresholdSillHingeMaterial","OpeningId","Type","PeculiarType","HouseId","BiggerAreaRoom","PassingStandingBiggerRoom","BiggerAreaRoomType","Bigger Area RoomM2","SmallerAreaRoom","PassingStandingSmallerRoom","SmallerAreaRoomType","SmallerAreaRoomM2","Width","Height","Length","LevelOfPreservation","IdThresholdSill:1","IdLintel","Floor","DistancefromGround","FrameTrace","LintelType","Facing","HouseId:1","HouseType","Date","Period","Town","DataMethod","TotalSquareMeter","IdThresholdSill:2","ThresholdSillLength","ThresholdSillWidth","ThresholdSillThickness","ThresholdSillMaterial","ThresholdSillType","ThresholdSillDoorstopWidth","ThresholdSillTenonHoleNumber","ThresholdSillHingeHoleNumber","ThresholdSillBoltHoleNumber","ThresholdSillShutterErosion","ThresholdSillFoldingDoorChannel","IdLintel:1","LintelLength","LintelWidth","LintelThickness","LintelMaterial","LintelDoorstopWidth","LintelTenonHoleNumber","LintelHingeHoleNumber","LintelBoltHoleNumber"
"R1HT0049","T0049",1.5,"ROUND",3,NA,NA,"NO TRACE",1833,"DOORWAY","NO","DOMUS DELLE FONTANE 2","CORRIDOR","PASSING","PUBLIC ROOM",8.14,"CUBICULUM","STANDING","PRIVATE ROOM",4.1,114,NA,27,2,"T0049",NA,"G",NA,NA,NA,"INSIDE","DOMUS DELLE FONTANE 2","DOMUS","III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",541,"T0049",97,27,20,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0051","T0051",0.8,"ROUND",2.5,NA,NA,"NO TRACE",51,"DOORWAY","NO","DOMUS DELLE FONTANE 1","COURT","STANDING","OPEN SPACES",59.87,"CORRIDOR","PASSING","PUBLIC ROOM",4.1,141,NA,45,2,"T0051",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0051",55,136,NA,"MARBLE","D",12,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0051","T0051",1.5,"ROUND",2.5,NA,NA,"NO TRACE",51,"DOORWAY","NO","DOMUS DELLE FONTANE 1","COURT","STANDING","OPEN SPACES",59.87,"CORRIDOR","PASSING","PUBLIC ROOM",4.1,141,NA,45,2,"T0051",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0051",55,136,NA,"MARBLE","D",12,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0054","T0054",0.5,"ROUND",2.3,NA,NA,"NO TRACE",54,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",4.63,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",1.02,117,NA,32,3,"T0054",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0054",405,117,NA,"MARBLE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0054","T0054",0.5,"ROUND",2.3,NA,NA,"NO TRACE",54,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",4.63,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",1.02,117,NA,32,3,"T0054",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0054",405,117,NA,"MARBLE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0055","T0055",1,"ROUND",2.5,NA,NA,"NO TRACE",55,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",8.88,"ANTICHAMBER","STANDING","PUBLIC ROOM",7.25,97,NA,30,3,"T0055",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0055",30,97,NA,"MARBLE","E",7,0,4,0,"YES","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L2HT0055","T0055",1,"ROUND",2.5,NA,NA,"NO TRACE",55,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",8.88,"ANTICHAMBER","STANDING","PUBLIC ROOM",7.25,97,NA,30,3,"T0055",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0055",30,97,NA,"MARBLE","E",7,0,4,0,"YES","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L3HT0055","T0055",1,"ROUND",2.5,NA,NA,"NO TRACE",55,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",8.88,"ANTICHAMBER","STANDING","PUBLIC ROOM",7.25,97,NA,30,3,"T0055",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0055",30,97,NA,"MARBLE","E",7,0,4,0,"YES","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0055","T0055",1,"ROUND",2.5,NA,NA,"NO TRACE",55,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",8.88,"ANTICHAMBER","STANDING","PUBLIC ROOM",7.25,97,NA,30,3,"T0055",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0055",30,97,NA,"MARBLE","E",7,0,4,0,"YES","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0056","T0056",0.3,"ROUND",2.5,NA,NA,"NO TRACE",56,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",17.02,"ANTICHAMBER","STANDING","PUBLIC ROOM",2.92,128,NA,40,3,"T0056",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0056",465,128,NA,"MARBLE","E",8,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0058","T0058",1.5,"ROUND",3,NA,NA,"NO TRACE",58,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",16.04,"CORRIDOR","PASSING","PUBLIC ROOM",4.1,135,NA,38,3,"T0058",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0058",50,135,20,"OTHER STONE","D",NA,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0058","T0058",1.5,"ROUND",2.75,NA,NA,"NO TRACE",58,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",16.04,"CORRIDOR","PASSING","PUBLIC ROOM",4.1,135,NA,38,3,"T0058",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0058",50,135,20,"OTHER STONE","D",NA,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0060","T0060",2,"ROUND",3,NA,NA,"NO TRACE",60,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",28.38,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",1.49,159,NA,36,2,"T0060",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0060",48,161,NA,"OTHER STONE","D",9,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0060","T0060",2,"ROUND",3,NA,NA,"NO TRACE",60,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",28.38,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",1.49,159,NA,36,2,"T0060",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0060",48,161,NA,"OTHER STONE","D",9,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0061","T0061",1,"ROUND",3.5,NA,NA,"NO TRACE",61,"DOORWAY","NO","DOMUS DELLE FONTANE 2","CORRIDOR","PASSING","PUBLIC ROOM",28.38,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",2.76,119,NA,36,2,"T0061",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 2","DOMUS","III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",541,"T0061",53,154,NA,"OTHER STONE","D",17,0,2,2,"YES","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0061","T0061",1,"ROUND",3.5,NA,NA,"NO TRACE",61,"DOORWAY","NO","DOMUS DELLE FONTANE 2","CORRIDOR","PASSING","PUBLIC ROOM",28.38,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",2.76,119,NA,36,2,"T0061",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 2","DOMUS","III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",541,"T0061",53,154,NA,"OTHER STONE","D",17,0,2,2,"YES","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0062","T0062",1,"ROUND",3,NA,NA,"NO TRACE",63,"DOORWAY","NO","DOMUS DELLE FONTANE 1","COURT","STANDING","OPEN SPACES",59.87,"RECEPTION ROOM","STANDING","PUBLIC ROOM",42.14,84,NA,39,3,"T0062",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0062",47,115,NA,"OTHER STONE","A",14,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0062","T0062",1,"ROUND",3,NA,NA,"NO TRACE",63,"DOORWAY","NO","DOMUS DELLE FONTANE 1","COURT","STANDING","OPEN SPACES",59.87,"RECEPTION ROOM","STANDING","PUBLIC ROOM",42.14,84,NA,39,3,"T0062",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0062",47,115,NA,"OTHER STONE","A",14,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0063","T0063",1.5,"ROUND",2.75,NA,NA,"NO TRACE",62,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",30.27,"CORRIDOR","PASSING","PUBLIC ROOM",28.38,110,NA,40,2,"T0063",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0063",48,110,NA,"OTHER STONE","D",10,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0064","T0064",2,"ROUND",3.5,NA,NA,"NO TRACE",64,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",30.27,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",5.34,188,NA,45,2,"T0064",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0064",67,1865,NA,"OTHER STONE","E",16,0,1,2,"NO","YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0065","T0065",2,"ROUND",3.5,NA,NA,"NO TRACE",65,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",12.5,"CORRIDOR","PASSING","PUBLIC ROOM",5.06,148,NA,53,2,"T0065",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0065",66,1845,NA,"OTHER STONE","A",14,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0066","T0066",0.5,"ROUND",3.5,NA,NA,"NO TRACE",66,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",10.52,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",8.5,137,NA,26,2,"T0066",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0066",335,1125,NA,"OTHER STONE","A",7,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0066","T0066",0.5,"ROUND",3.5,NA,NA,"NO TRACE",66,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",10.52,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",8.5,137,NA,26,2,"T0066",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0066",335,1125,NA,"OTHER STONE","A",7,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0072","T0072",1.5,"ROUND",2.5,NA,NA,"NO TRACE",72,"DOORWAY","NO","DOMUS DELLE FONTANE 1","RECEPTION ROOM","STANDING","PUBLIC ROOM",22.38,"CUBICULUM","STANDING","PRIVATE ROOM",2.92,90,NA,41,3,"T0072",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0072",495,132,NA,"MARBLE","E",8,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L2HT0072","T0072",1.5,"ROUND",2.5,NA,NA,"NO TRACE",72,"DOORWAY","NO","DOMUS DELLE FONTANE 1","RECEPTION ROOM","STANDING","PUBLIC ROOM",22.38,"CUBICULUM","STANDING","PRIVATE ROOM",2.92,90,NA,41,3,"T0072",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0072",495,132,NA,"MARBLE","E",8,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0072","T0072",1.5,"ROUND",2.5,NA,NA,"NO TRACE",72,"DOORWAY","NO","DOMUS DELLE FONTANE 1","RECEPTION ROOM","STANDING","PUBLIC ROOM",22.38,"CUBICULUM","STANDING","PRIVATE ROOM",2.92,90,NA,41,3,"T0072",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0072",495,132,NA,"MARBLE","E",8,0,3,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0073","T0073",1.5,"ROUND",2.75,NA,NA,"NO TRACE",73,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",2.97,"CUBICULUM","STANDING","PRIVATE ROOM",2.92,83,NA,38,3,"T0073",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0073",46,1045,NA,"MARBLE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0073","T0073",1.5,"ROUND",2.75,NA,NA,"NO TRACE",73,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CUBICULUM","STANDING","PRIVATE ROOM",2.97,"CUBICULUM","STANDING","PRIVATE ROOM",2.92,83,NA,38,3,"T0073",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0073",46,1045,NA,"MARBLE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
