OpeningId,Type,PeculiarType,HouseId,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Facing,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Length,LevelOfPreservation,IdThresholdSill,IdLintel,Floor,DistancefromGround,FrameTrace,LintelType,HouseType,Date,Period,Town,DataMethod,TotalSquareMeter,IdThresholdSill:1,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel
11,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,COURT,STANDING,OPEN SPACES,OUTSIDE,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,25.64,107,,43,2,T0011,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,BOTH,365,T0011,43,107,,LIMESTONE,E,153,2,1,1,NO,NO
12,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,204,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
13,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,202,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
14,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,208,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
15,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
16,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
17,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
18,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
19,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
20,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
21,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
22,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
23,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
24,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
25,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
26,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
27,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
28,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
29,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
30,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
31,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
32,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
33,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
34,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
35,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
36,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
37,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
38,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
39,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
40,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
41,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
42,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,STANDING,OPEN SPACES,OUTSIDE,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
43,WINDOW,NO,DOMUS DEL CRIPTOPORTICO,UNKNOWN,STANDING,UNKNOWN,INSIDE,,STORAGE CLOSET,STANDING,SERVICE ROOM,12.52,60,66,,4,,,UG,180,NO,E,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
44,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,INSIDE,54.5,CORRIDOR,PASSING,PUBLIC ROOM,,130,209,44,4,T0044,L0044,UG,,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,T0044,445,130,16,OTHER STONE,D,16,0,0,0,NO,NO
45,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,INSIDE,54.5,STORAGE CLOSET,STANDING,SERVICE ROOM,12.52,134,170,40,4,T0045,L0045,UG,,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,T0045,58,124,30,LIMESTONE,D,18,2,1,1,NO,NO
46,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,INSIDE,54.5,STORAGE CLOSET,STANDING,SERVICE ROOM,14.16,134,172,47,4,T0046,,UG,,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,T0046,47,133,,OTHER STONE,C,0,0,0,0,NO,NO
47,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,STORAGE CLOSET,STANDING,SERVICE ROOM,INSIDE,14.16,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.82,119,,35,4,T0047,,UG,,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,T0047,35,119,,OTHER STONE,C,0,0,0,0,NO,NO
48,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.82,,,,4,,,UG,,NO,A,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,
49,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,8.14,CUBICULUM,STANDING,PRIVATE ROOM,4.1,114,,27,2,T0049,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0049,97,27,20,LIMESTONE,D,85,0,2,1,NO,NO
50,WINDOW,NO,DOMUS DELLE FONTANE 1,COURT,STANDING,OPEN SPACES,OUTSIDE,59.87,CUBICULUM,STANDING,PRIVATE ROOM,8.14,119,,59,1,,,G,100,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,,,,,,,,,,,,
51,DOORWAY,NO,DOMUS DELLE FONTANE 1,COURT,STANDING,OPEN SPACES,OUTSIDE,59.87,CORRIDOR,PASSING,PUBLIC ROOM,4.1,141,,45,2,T0051,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0051,55,136,,MARBLE,D,125,0,2,1,NO,NO
52,DOORWAY,NO,DOMUS DELLE FONTANE 1,COURT,STANDING,OPEN SPACES,OUTSIDE,59.87,CORRIDOR,PASSING,PUBLIC ROOM,17.02,131,,54,2,T0052,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0052,315,131,,MARBLE,C,0,0,0,0,NO,NO
53,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,17.05,CORRIDOR,PASSING,PUBLIC ROOM,5.71,126,,39,1,,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,,,,,,,,,,,,
54,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,4.63,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,1.02,117,,32,3,T0054,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0054,405,117,,MARBLE,D,85,0,2,1,NO,NO
55,DOORWAY,NO,DOMUS DELLE FONTANE 1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,8.88,ANTICHAMBER,STANDING,PUBLIC ROOM,7.25,97,,30,3,T0055,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0055,30,97,,MARBLE,E,7,0,4,0,YES,NO
56,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,17.02,ANTICHAMBER,STANDING,PUBLIC ROOM,2.92,128,,40,3,T0056,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0056,465,128,,MARBLE,E,8,0,1,0,NO,NO
57,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,17.02,CUBICULUM,STANDING,PRIVATE ROOM,16.04,204,,32,3,T0057,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0057,47,198,,OTHER STONE,D,25,0,0,2,NO,NO
58,DOORWAY,NO,DOMUS DELLE FONTANE 1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,16.04,CORRIDOR,PASSING,PUBLIC ROOM,4.1,135,,38,3,T0058,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0058,50,135,20,OTHER STONE,D,,0,2,1,NO,NO
59,DOORWAY,NO,DOMUS DELLE FONTANE 1,TRICLINIUM,STANDING,PUBLIC ROOM,INSIDE,35.16,CUBICULUM,STANDING,PRIVATE ROOM,1.3,91,,27,2,T0059,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0059,27,94,,OTHER STONE,C,0,0,0,4,NO,NO
60,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,28.38,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,1.49,159,,36,2,T0060,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0060,48,161,,OTHER STONE,D,9,0,2,1,NO,NO
61,DOORWAY,NO,DOMUS DELLE FONTANE 2,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,28.38,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,2.76,119,,36,2,T0061,,G,,NO,,DOMUS,III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,541,T0061,53,154,,OTHER STONE,D,17,0,2,2,YES,NO
62,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,30.27,CORRIDOR,PASSING,PUBLIC ROOM,28.38,110,,40,2,T0063,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0063,48,110,,OTHER STONE,D,10,0,1,0,NO,NO
63,DOORWAY,NO,DOMUS DELLE FONTANE 1,COURT,STANDING,OPEN SPACES,OUTSIDE,59.87,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.14,84,,39,3,T0062,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0062,47,115,,OTHER STONE,A,145,0,2,0,NO,NO
64,DOORWAY,NO,DOMUS DELLE FONTANE 1,CORRIDOR,PASSING,PUBLIC ROOM,INSIDE,30.27,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,5.34,188,,45,2,T0064,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0064,67,1865,,OTHER STONE,E,16,0,1,2,NO,YES
65,DOORWAY,NO,DOMUS DELLE FONTANE 1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,12.5,CORRIDOR,PASSING,PUBLIC ROOM,5.06,148,,53,2,T0065,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0065,66,1845,,OTHER STONE,A,14,0,1,0,NO,NO
66,DOORWAY,NO,DOMUS DELLE FONTANE 1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,10.52,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.5,137,,26,2,T0066,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0066,335,1125,,OTHER STONE,A,7,0,2,1,NO,NO
67,DOORWAY,NO,DOMUS DELLE FONTANE 1,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,INSIDE,8.5,CUBICULUM,STANDING,PRIVATE ROOM,5.03,100,,31,2,T0067,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0067,44,64,,OTHER STONE,A,13,0,0,0,NO,NO
68,DOORWAY,NO,DOMUS DELLE FONTANE 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,23.63,CUBICULUM,STANDING,PRIVATE ROOM,12.5,154,,35,2,,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,,,,,,,,,,,,
69,WINDOW,BETWEEN FLATS,DOMUS DELLE FONTANE 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,23.63,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,19.6,120,,41,3,T0069,,G,93,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0069,41,120,21,LIMESTONE,D,15,0,0,0,NO,NO
70,WINDOW,NO,DOMUS DELLE FONTANE 1,COURT,STANDING,OPEN SPACES,OUTSIDE,59.87,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.14,122,,23,2,T0070,,G,71,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0070,345,122,12,LIMESTONE,D,115,1,0,0,NO,NO
71,WINDOW,NO,DOMUS DELLE FONTANE 1,COURT,STANDING,OPEN SPACES,OUTSIDE,59.87,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.14,152,,22,2,T0071,,G,71,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0071,33,152,12,LIMESTONE,D,11,0,0,0,NO,NO
72,DOORWAY,NO,DOMUS DELLE FONTANE 1,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,22.38,CUBICULUM,STANDING,PRIVATE ROOM,2.92,90,,41,3,T0072,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0072,495,132,,MARBLE,E,85,0,3,1,NO,NO
73,DOORWAY,NO,DOMUS DELLE FONTANE 1,CUBICULUM,STANDING,PRIVATE ROOM,INSIDE,2.97,CUBICULUM,STANDING,PRIVATE ROOM,2.92,83,,38,3,T0073,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,SURVEY,595,T0073,46,1045,,MARBLE,D,8,0,2,1,NO,NO
74,DOORWAY,NO,DOMUS DI DIONISO 1,COURT,STANDING,OPEN SPACES,OUTSIDE,35.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,11.66,90,,39,3,T0074,,G,,NO,,DOMUS,I-II AD,MIDDLE EMPIRE,BRESCIA,SURVEY,300,T0074,77,1215,,MARBLE,D,10,0,2,0,NO,NO
