OpeningId,Type,PeculiarType,HouseId,HouseType,Date,Period,Town,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Facing,Floor,DistancefromGround,IdThresholdSill,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel,FrameTrace,LintelType,IdLintel,LintelLength,LintelWidth,LintelThickness,LintelMaterial,LintelDoorstopWidth,LintelTenonHoleNumber,LintelHingeHoleNumber,LintelBoltHoleNumber
11,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,COURT,STANDING,OPEN SPACES,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,25.64,107,,INSIDE,G,,T0011,43,107,,LIMESTONE,E,153,2,1,1,NO,NO,NO,,,,,,,,,,
12,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,204,,,,,,,,,,,,,NO,A,,,,,,,,,
13,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,202,,,,,,,,,,,,,NO,A,,,,,,,,,
14,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,208,,,,,,,,,,,,,NO,A,,,,,,,,,
15,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
16,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
17,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
18,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
19,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
20,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
21,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
22,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
23,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
24,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
25,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
26,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
27,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
28,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
29,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
30,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
31,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
32,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
33,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
34,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
35,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
36,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
37,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
38,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
39,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
40,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
41,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
42,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,GARDEN,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,INSIDE,UG,216,,,,,,,,,,,,,NO,A,,,,,,,,,
43,WINDOW,NO,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,UNKNOWN,STANDING,UNKNOWN,,STORAGE CLOSET,STANDING,SERVICE ROOM,12.52,60,66,INSIDE,UG,180,,,,,,,,,,,,,NO,E,,,,,,,,,
44,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,CORRIDOR,PASSING,PUBLIC ROOM,,130,209,INSIDE,UG,,T0044,445,130,16,OTHER STONE,D,16,0,0,0,NO,NO,NO,A,L0044,130,44.5,,OTHER STONE,,,,
45,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,STORAGE CLOSET,STANDING,SERVICE ROOM,12.52,134,170,INSIDE,UG,,T0045,58,124,30,LIMESTONE,D,18,2,1,1,NO,NO,NO,A,L0045,124,58,30,LIMESTONE,18,2,1,0
46,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,STORAGE CLOSET,STANDING,SERVICE ROOM,14.16,134,172,INSIDE,UG,,T0046,47,133,,OTHER STONE,C,0,0,0,0,NO,NO,NO,A,,,,,,,,,
47,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,STORAGE CLOSET,STANDING,SERVICE ROOM,14.16,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.82,119,,INSIDE,UG,,T0047,35,119,,OTHER STONE,C,0,0,0,0,NO,NO,NO,A,,,,,,,,,
48,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,CORRIDOR,PASSING,PUBLIC ROOM,,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.82,,,INSIDE,UG,,,,,,,,,,,,,,NO,A,,,,,,,,,
49,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,8.14,CUBICULUM,STANDING,PRIVATE ROOM,4.1,114,,INSIDE,G,,T0049,97,27,20,LIMESTONE,D,85,0,2,1,NO,NO,NO,,,,,,,,,,
50,WINDOW,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,59.87,CUBICULUM,STANDING,PRIVATE ROOM,8.14,119,,INSIDE,G,100,,,,,,,,,,,,,NO,,,,,,,,,,
51,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,59.87,CORRIDOR,PASSING,PUBLIC ROOM,4.1,141,,INSIDE,G,,T0051,55,136,,MARBLE,D,125,0,2,1,NO,NO,NO,,,,,,,,,,
52,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,59.87,CORRIDOR,PASSING,PUBLIC ROOM,17.02,131,,INSIDE,G,,T0052,315,131,,MARBLE,C,0,0,0,0,NO,NO,NO,,,,,,,,,,
53,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,17.05,CORRIDOR,PASSING,PUBLIC ROOM,5.71,126,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
54,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,4.63,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,1.02,117,,INSIDE,G,,T0054,405,117,,MARBLE,D,85,0,2,1,NO,NO,NO,,,,,,,,,,
55,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CUBICULUM,STANDING,PRIVATE ROOM,8.88,ANTICHAMBER,STANDING,PUBLIC ROOM,7.25,97,,INSIDE,G,,T0055,30,97,,MARBLE,E,7,0,4,0,YES,NO,NO,,,,,,,,,,
56,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,17.02,ANTICHAMBER,STANDING,PUBLIC ROOM,2.92,128,,INSIDE,G,,T0056,465,128,,MARBLE,E,8,0,1,0,NO,NO,NO,,,,,,,,,,
57,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,17.02,CUBICULUM,STANDING,PRIVATE ROOM,16.04,204,,INSIDE,G,,T0057,47,198,,OTHER STONE,D,25,0,0,2,NO,NO,NO,,,,,,,,,,
58,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CUBICULUM,STANDING,PRIVATE ROOM,16.04,CORRIDOR,PASSING,PUBLIC ROOM,4.1,135,,INSIDE,G,,T0058,50,135,20,OTHER STONE,D,,0,2,1,NO,NO,NO,,,,,,,,,,
59,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,TRICLINIUM,STANDING,PUBLIC ROOM,35.16,CUBICULUM,STANDING,PRIVATE ROOM,1.3,91,,INSIDE,G,,T0059,27,94,,OTHER STONE,C,0,0,0,4,NO,NO,NO,,,,,,,,,,
60,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,28.38,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,1.49,159,,INSIDE,G,,T0060,48,161,,OTHER STONE,D,9,0,2,1,NO,NO,NO,,,,,,,,,,
61,DOORWAY,NO,DOMUS DELLE FONTANE 2,DOMUS,III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,28.38,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,2.76,119,,INSIDE,G,,T0061,53,154,,OTHER STONE,D,17,0,2,2,YES,NO,NO,,,,,,,,,,
62,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,30.27,CORRIDOR,PASSING,PUBLIC ROOM,28.38,110,,INSIDE,G,,T0063,48,110,,OTHER STONE,D,10,0,1,0,NO,NO,NO,,,,,,,,,,
63,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,59.87,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.14,84,,INSIDE,G,,T0062,47,115,,OTHER STONE,A,145,0,2,0,NO,NO,NO,,,,,,,,,,
64,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CORRIDOR,PASSING,PUBLIC ROOM,30.27,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,5.34,188,,INSIDE,G,,T0064,67,1865,,OTHER STONE,E,16,0,1,2,NO,YES,NO,,,,,,,,,,
65,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CUBICULUM,STANDING,PRIVATE ROOM,12.5,CORRIDOR,PASSING,PUBLIC ROOM,5.06,148,,INSIDE,G,,T0065,66,1845,,OTHER STONE,A,14,0,1,0,NO,NO,NO,,,,,,,,,,
66,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CUBICULUM,STANDING,PRIVATE ROOM,10.52,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.5,137,,INSIDE,G,,T0066,335,1125,,OTHER STONE,A,7,0,2,1,NO,NO,NO,,,,,,,,,,
67,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,8.5,CUBICULUM,STANDING,PRIVATE ROOM,5.03,100,,INSIDE,G,,T0067,44,64,,OTHER STONE,A,13,0,0,0,NO,NO,NO,,,,,,,,,,
68,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,23.63,CUBICULUM,STANDING,PRIVATE ROOM,12.5,154,,INSIDE,G,,,,,,,,,,,,,,NO,,,,,,,,,,
69,WINDOW,BETWEEN FLATS,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,23.63,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,19.6,120,,OUTSIDE,G,93,T0069,41,120,21,LIMESTONE,D,15,0,0,0,NO,NO,NO,,,,,,,,,,
70,WINDOW,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,59.87,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.14,122,,INSIDE,G,71,T0070,345,122,12,LIMESTONE,D,115,1,0,0,NO,NO,NO,,,,,,,,,,
71,WINDOW,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,59.87,RECEPTION ROOM,STANDING,PUBLIC ROOM,42.14,152,,INSIDE,G,71,T0071,33,152,12,LIMESTONE,D,11,0,0,0,NO,NO,NO,,,,,,,,,,
72,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.38,CUBICULUM,STANDING,PRIVATE ROOM,2.92,90,,INSIDE,G,,T0072,495,132,,MARBLE,E,85,0,3,1,NO,NO,NO,,,,,,,,,,
73,DOORWAY,NO,DOMUS DELLE FONTANE 1,DOMUS,I BC-III AD,MIDDLE EMPIRE,BRESCIA,CUBICULUM,STANDING,PRIVATE ROOM,2.97,CUBICULUM,STANDING,PRIVATE ROOM,2.92,83,,INSIDE,G,,T0073,46,1045,,MARBLE,D,8,0,2,1,NO,NO,NO,,,,,,,,,,
74,DOORWAY,NO,DOMUS DI DIONISO 1,DOMUS,I-II AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,35.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,11.66,90,,INSIDE,G,,T0074,77,1215,,MARBLE,D,10,0,2,0,NO,NO,NO,,,,,,,,,,
75,DOORWAY,NO,DOMUS DI DIONISO 1,DOMUS,I-II AD,MIDDLE EMPIRE,BRESCIA,COURT,STANDING,OPEN SPACES,35.21,STAIRWAY,PASSING,SERVICE ROOM,3.54,77,,INSIDE,G,,T0075,38,84,,OTHER STONE,A,8,0,1,0,NO,NO,NO,,,,,,,,,,
76,DOORWAY,NO,DOMUS DI DIONISO 1,DOMUS,I-II AD,MIDDLE EMPIRE,BRESCIA,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,17.86,CUBICULUM,STANDING,PRIVATE ROOM,4.87,59,,INSIDE,G,,T0076,35,59,8,MARBLE,A,10,0,4,0,NO,NO,NO,,,,,,,,,,
