Opening Id,Type,Peculiar Type,House Id,Bigger Area Room,Outside Inside Facing,Passing Standing Bigger Room,Bigger Area Room Type,Bigger Area Room m2,Smaller Area Room,Passing Standing Smaller Room,Smaller Area Room Type,Smaller Area Room m2,Width (cm),Height (cm),Length (cm),Level of Preservation,Id Threshold Sill,Id Lintel,Floor,Distance from Ground (cm),Frame Trace,Lintel Type,House Id:1,House Type,Date,Period,Town,Data Method,Total Square Meter (m2),Id Lintel:1,Lintel Length (cm),Lintel Width (cm),Lintel Thickness (cm),Lintel Material,Lintel Doorstop Width (cm),Lintel Tenon Hole Number,Lintel Hinge Hole Number,Lintel Bolt Hole Number,Id Threshold Sill:1,Threshold Sill Length (cm),Threshold Sill Width (cm),Threshold Sill Thickness (cm),Threshold Sill Material,Threshold Sill Type,Threshold Sill Doorstop Width (cm),Threshold Sill Tenon Hole Number,Threshold Sill Hinge Hole Number,Threshold Sill Bolt Hole Number,Threshold Sill Shutter Erosion,Threshold Sill Folding Door Channel
25,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
26,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
27,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
28,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
29,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
30,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
31,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
32,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
33,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
34,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
35,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
36,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
37,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
38,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
39,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
40,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
41,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
42,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
43,WINDOW,NO,DOMUS DEL CRIPTOPORTICO,UNKNOWN,INSIDE,STANDING,UNKNOWN,,STORAGE CLOSET,STANDING,SERVICE ROOM,12.52,60,66,,4,,,UG,180,NO,E,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
44,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CRYPTOPORTICUS,INSIDE,PASSING,PUBLIC ROOM,54.5,CORRIDOR,PASSING,PUBLIC ROOM,,130,209,44,4,T0044,L0044,UG,,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,L0044,130,44.5,,OTHER STONE,,,,,T0044,445,130,16,OTHER STONE,D,16,0,0,0,NO,NO
45,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CRYPTOPORTICUS,INSIDE,PASSING,PUBLIC ROOM,54.5,STORAGE CLOSET,STANDING,SERVICE ROOM,12.52,134,170,40,4,T0045,L0045,UG,,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,L0045,124,58,30,LIMESTONE,18,2,1,0,T0045,58,124,30,LIMESTONE,D,18,2,1,1,NO,NO
46,DOORWAY,NO,DOMUS DEL CRIPTOPORTICO,CRYPTOPORTICUS,INSIDE,PASSING,PUBLIC ROOM,54.5,STORAGE CLOSET,STANDING,SERVICE ROOM,14.16,134,172,47,4,T0046,,UG,,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,T0046,47,133,,OTHER STONE,C,0,0,0,0,NO,NO
111,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,SERVICE ROOM,INSIDE,STANDING,SERVICE ROOM,35.07,SERVICE ROOM,STANDING,SERVICE ROOM,24.1,118,205,60,4,,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
113,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,STREET,OUTSIDE,PASSING,OPEN SPACES,,SERVICE ROOM,STANDING,SERVICE ROOM,35.07,54,122,60,4,,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
115,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,SERVICE ROOM,INSIDE,STANDING,SERVICE ROOM,35.07,SERVICE ROOM,STANDING,SERVICE ROOM,24.1,118,193,60,3,,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
116,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,ALA,INSIDE,STANDING,PUBLIC ROOM,36.74,SERVICE ROOM,STANDING,SERVICE ROOM,35.07,148,218,64,4,,,G,,NO,C,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
117,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,CORRIDOR,INSIDE,PASSING,PUBLIC ROOM,38.5,CUBICULUM,STANDING,PRIVATE ROOM,18.69,257,276,63,4,,,G,,NO,F,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
118,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,OECUS,INSIDE,STANDING,PUBLIC ROOM,58.54,ALA,STANDING,PUBLIC ROOM,36.74,147,218,63,4,,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
119,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,OECUS,INSIDE,STANDING,PUBLIC ROOM,58.54,COURT,STANDING,OPEN SPACES,42.25,353,401,74,4,,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
120,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,GARDEN,OUTSIDE,STANDING,OPEN SPACES,336.9,COURT,STANDING,OPEN SPACES,42.25,176,234,74,4,T0120,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,T0120,60,176,,LIMESTONE,C,0,0,0,0,NO,NO
121,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,CORRIDOR,PASSING,PUBLIC ROOM,38.5,252,312,67,4,,,G,,NO,C,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
122,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,CORRIDOR,PASSING,PUBLIC ROOM,38.5,284,296,67,3,,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
123,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,ALA,STANDING,PUBLIC ROOM,36.74,100,160,58,4,,,G,123,NO,B,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
124,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.45,235,227,56,4,,,G,85,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
125,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,CORRIDOR,INSIDE,PASSING,PUBLIC ROOM,38.5,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.45,110,242,71,4,,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
126,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,RECEPTION ROOM,INSIDE,STANDING,PUBLIC ROOM,22.45,CUBICULUM,STANDING,PRIVATE ROOM,18.78,177,228,68,3,,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
127,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,RECEPTION ROOM,INSIDE,STANDING,PUBLIC ROOM,22.45,CUBICULUM,STANDING,PRIVATE ROOM,18.78,190,197,63,4,,,G,122,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
128,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,CORRIDOR,INSIDE,PASSING,PUBLIC ROOM,38.5,ENTRANCE,PASSING,PUBLIC ROOM,20.6,261,278,64,4,,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
130,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,CORRIDOR,INSIDE,PASSING,PUBLIC ROOM,38.5,CUBICULUM,STANDING,PRIVATE ROOM,10.62,117,202,58,4,,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
133,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,TABERNA,INSIDE,STANDING,PUBLIC ROOM,38.96,ENTRANCE,PASSING,PUBLIC ROOM,13.49,118,186,72,3,,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
134,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,TABERNA,INSIDE,STANDING,PUBLIC ROOM,38.96,ENTRANCE,PASSING,PUBLIC ROOM,13.49,113,185,72,4,T0134,,G,,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,T0134,52,130,,LIMESTONE,D,15,0,0,0,NO,NO
135,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,STREET,OUTSIDE,PASSING,OPEN SPACES,,ENTRANCE,PASSING,PUBLIC ROOM,13.49,147,261,70,5,T0135,,G,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,T0135,65,141,,LIMESTONE,D,23,0,0,0,NO,NO
136,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,STREET,OUTSIDE,PASSING,OPEN SPACES,,STAIRWAY,PASSING,SERVICE ROOM,12.03,136,310,66,5,T0136,,G,,YES,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,T0136,59,154,29,LIMESTONE,D,85,0,3,1,NO,NO
139,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,STREET,OUTSIDE,PASSING,OPEN SPACES,,TABERNA,STANDING,PUBLIC ROOM,38.96,75,93,60,5,,,G,217,NO,D,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
145,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,ALA,STANDING,PUBLIC ROOM,36.74,90,171,67,4,,,1,133,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
147,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,CORRIDOR,PASSING,PUBLIC ROOM,38.5,126,171,67,4,,,1,180,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
149,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,CORRIDOR,PASSING,PUBLIC ROOM,38.5,134,171,67,3,,,1,180,NO,n.a.,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
150,WINDOW,NO,DOMUS DI GIOVE E GANIMEDE  1,COURT,OUTSIDE,STANDING,OPEN SPACES,42.25,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.45,195,210,67,4,,,G,408,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
155,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,CORRIDOR,INSIDE,PASSING,PUBLIC ROOM,38.5,STAIRWAY,PASSING,SERVICE ROOM,28.05,117,187,57,4,,,1,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
157,DOORWAY,NO,DOMUS DI GIOVE E GANIMEDE  1,CORRIDOR,INSIDE,PASSING,PUBLIC ROOM,38.5,CUBICULUM,STANDING,PRIVATE ROOM,18.28,82,216,58,4,,,1,,NO,E,DOMUS DI GIOVE E GANIMEDE  1,CENTRAL COURT APARTMENT,II AD,MIDDLE EMPIRE,OSTIA,BOTH,943,,,,,,,,,,,,,,,,,,,,,
